交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2021/3/25,TXO,202103W5,16450,賣權,424,555,415,466,12,-,-,393,695,555,406,,盤後
2021/3/25,TXO,202103W5,16500,買權,3,9,2.1,5.5,6750,5.5,4641,5.3,5.5,18,2.1,,一般
2021/3/25,TXO,202103W5,16500,買權,6.3,7.9,5,5,2157,-,-,5,5.2,18,5,,盤後
2021/3/25,TXO,202103W5,16500,賣權,560,575,417,461,19,450,17,263,585,590,405,,一般
2021/3/25,TXO,202103W5,16500,賣權,510,590,405,590,16,-,-,418,615,590,405,,盤後
2021/3/25,TXO,202103W5,16550,買權,2.9,5.6,1.4,3.4,6452,3.4,5106,3,3.5,12,0.2,,一般
2021/3/25,TXO,202103W5,16550,買權,4.2,5.1,0.2,0.2,710,-,-,1,4,12,0.2,,盤後
2021/3/25,TXO,202103W5,16550,賣權,585,605,461,461,3,500,2,481,498,605,358,,一般
2021/3/25,TXO,202103W5,16550,賣權,545,545,358,358,2,-,-,487,-,545,358,,盤後
2021/3/25,TXO,202103W5,16600,買權,1.6,3.5,0.6,2,4854,2,4089,1.8,2.1,9,0.6,,一般
2021/3/25,TXO,202103W5,16600,買權,2.7,3.4,2.1,2.2,958,-,-,2,2.3,9,2.1,,盤後
2021/3/25,TXO,202103W5,16600,賣權,550,550,505,550,5,550,3,530,555,560,505,,一般
2021/3/25,TXO,202103W5,16600,賣權,560,560,560,560,1,-,-,540,-,560,560,,盤後
2021/3/25,TXO,202103W5,16650,買權,1.5,2.2,0.6,1.4,496,1.4,678,0.6,1.5,6.9,0.6,,一般
2021/3/25,TXO,202103W5,16650,買權,2,2.5,1.5,1.5,349,-,-,1.5,1.9,6.9,1.5,,盤後
2021/3/25,TXO,202103W5,16650,賣權,725,725,705,705,22,600,0,460,785,725,705,,一般
2021/3/25,TXO,202103W5,16650,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202103W5,16700,買權,1.2,1.3,0.5,0.9,454,0.9,1128,0.7,1.2,5.3,0.5,,一般
2021/3/25,TXO,202103W5,16700,買權,1.5,1.5,1,1.1,321,-,-,1,1.4,5.3,1,,盤後
2021/3/25,TXO,202103W5,16700,賣權,760,770,760,770,22,650,0,510,650,770,760,,一般
